,start,end,stock,benchmark,indicator,rollD,minWidth,ininav,mu,sigma,sharpe,mdd,cagr,mu_bm,sigma_bm,sharpe_bm,mdd_bm,cagr_bm
0,20100101,,^HSI,^HSI,^HSI,5,0.0,10000000.0,0.02316139165394938,0.12055207268055604,-0.015251569758760122,-0.3270463940416266,0.02342208333027629,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
1,20100101,,^HSI,^HSI,^HSI,5,0.1,10000000.0,0.01876509050505539,0.11944898459992012,-0.0521972582339455,-0.32704639404162716,0.018934504505996763,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
2,20100101,,^HSI,^HSI,^HSI,5,0.2,10000000.0,0.02302425665079877,0.11689937560477348,-0.01690123098587838,-0.2950963964338762,0.023281802890550374,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
3,20100101,,^HSI,^HSI,^HSI,5,0.3,10000000.0,0.020834755445954315,0.11697196869688878,-0.03560891212183619,-0.28475146455007017,0.021044684052378804,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
4,20100101,,^HSI,^HSI,^HSI,5,0.4,10000000.0,0.008642028548879339,0.12248200130719135,-0.13355408367384528,-0.33280016414879077,0.008675942364499312,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
5,20100101,,^HSI,^HSI,^HSI,5,0.5,10000000.0,0.026539227124947506,0.12486393938699722,0.012327235008795444,-0.25277730726949776,0.026883472672563302,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
6,20100101,,^HSI,^HSI,^HSI,5,0.6,10000000.0,0.028993593924168337,0.11519162232141798,0.03466913516527315,-0.1990358772542914,0.029405891870712964,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
7,20100101,,^HSI,^HSI,^HSI,5,0.7,10000000.0,0.010454657723875832,0.12003908740474153,-0.12117171656829531,-0.3794629586852256,0.010505212800856478,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
8,20100101,,^HSI,^HSI,^HSI,5,0.8,10000000.0,0.009704587089069275,0.11742783121880558,-0.13025372905363877,-0.37946295868522517,0.009747853955884844,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
9,20100101,,^HSI,^HSI,^HSI,5,0.9,10000000.0,0.002112125038151643,0.11763824885877622,-0.19456150685586174,-0.37060470746130214,0.0021134984882924535,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
10,20100101,,^HSI,^HSI,^HSI,5,1.0,10000000.0,-0.01677118686571893,0.11740315792593707,-0.35579270271477687,-0.3850825593749905,-0.01662464284409948,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
11,20100101,,^HSI,^HSI,^HSI,5,1.1,10000000.0,-0.023185931954007068,0.11607347354329019,-0.4151330229299624,-0.40938070037916763,-0.022910013137174,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
12,20100101,,^HSI,^HSI,^HSI,5,1.2,10000000.0,-0.02481306612778833,0.1197610212628368,-0.4159372189926865,-0.37950595748952787,-0.024497932968162273,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
13,20100101,,^HSI,^HSI,^HSI,5,1.3,10000000.0,-0.02194558730299212,0.10624574893765297,-0.44185850043318614,-0.41932047525958527,-0.02169782514772045,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
14,20100101,,^HSI,^HSI,^HSI,5,1.4,10000000.0,-0.020937262050405702,0.1157462554173912,-0.396879034097059,-0.4122978417314894,-0.020711281448241636,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
15,20100101,,^HSI,^HSI,^HSI,5,1.5,10000000.0,-0.02979396682130657,0.10828671164909208,-0.5060082256340821,-0.44144470692124715,-0.029342769803697877,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
16,20100101,,^HSI,^HSI,^HSI,5,1.6,10000000.0,-0.02319421706708376,0.10526278787832861,-0.4578466715397145,-0.39742518800634186,-0.022918105120595555,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
17,20100101,,^HSI,^HSI,^HSI,5,1.7,10000000.0,0.012459262512101126,0.10870496805657034,-0.11536489741087678,-0.386695938128915,0.012532084654915954,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
18,20100101,,^HSI,^HSI,^HSI,5,1.8,10000000.0,0.012459262512101126,0.10870496805657034,-0.11536489741087678,-0.386695938128915,0.012532084654915954,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
19,20100101,,^HSI,^HSI,^HSI,5,1.9,10000000.0,-0.00394609370755457,0.11605536151835401,-0.24941625555986727,-0.34808809259285245,-0.003936723564890499,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
20,20100101,,^HSI,^HSI,^HSI,6,0.0,10000000.0,0.011205304898144742,0.11966493209436321,-0.11527767459039118,-0.3154181286547395,0.011263722497679929,0.026311951868095287,0.18078005433270133,0.007257171555446126,-0.3559143262969885,0.026650208644971363
